AC600,
X,Y
-0.0000 , 241.3477
0.0019 , 257.7224
0.0044 , 274.3396
0.0076 , 300.9030
0.0101 , 304.9057
0.0101 , 304.9057
0.0183 , 315.3369
0.0297 , 324.9191
0.0386 , 331.4690
0.0480 , 336.9272
0.0727 , 347.1159
0.1024 , 356.5768
0.1302 , 362.2776
0.1593 , 367.1294
0.1884 , 370.6469
0.2149 , 373.1941
0.2370 , 374.6496
0.2579 , 375.9838
0.2788 , 377.0755
0.3034 , 378.2884
0.3274 , 378.8949
0.3508 , 379.7439
0.3742 , 380.3504
0.3982 , 381.1995
0.4229 , 381.5633
0.4494 , 382.0485
0.4735 , 382.4124
0.4987 , 382.8976
0.5234 , 383.2615
0.5487 , 383.5040
0.5487 , 383.5040
0.5487 , 383.6253
0.5733 , 383.9892
0.5980 , 384.3531
0.6113 , 384.7170
0.6239 , 384.7170
0.6365 , 384.7170
0.6485 , 384.7170
0.6606 , 384.9596
0.6732 , 385.2022
0.6865 , 385.2022
0.6979 , 385.4447
0.7111 , 385.6873
0.7244 , 385.8086
0.7370 , 385.8086
0.7491 , 385.9299
0.7617 , 386.0512
0.7737 , 386.1725
0.7851 , 386.4151
0.7990 , 386.4151
0.8104 , 386.6577
0.8236 , 386.6577
0.8369 , 386.9003
0.8483 , 386.9003
0.8603 , 387.0216
0.8736 , 387.2642
0.8862 , 387.5067
0.8963 , 387.7493
0.9071 , 387.8706
0.9166 , 388.1132
0.9273 , 388.2345
0.9368 , 388.7197
0.9482 , 388.9623
0.9595 , 389.3261
0.9684 , 389.8113
0.9760 , 390.0539
0.9912 , 391.2668
