c,
X,Y
0.0014 , 12.7734
0.0021 , 14.1016
0.0047 , 15.1172
0.0093 , 17.0313
0.0216 , 17.8906
0.0300 , 18.2813
0.0396 , 18.7109
0.0486 , 18.9844
0.0757 , 19.4922
0.1014 , 19.7656
0.1266 , 20.0391
0.1517 , 20.1953
0.1761 , 20.3906
0.2012 , 20.5078
0.2270 , 20.5859
0.2508 , 20.6250
0.2752 , 20.7813
0.3010 , 20.8984
0.3254 , 20.9375
0.3492 , 20.9766
0.3750 , 21.0938
0.3988 , 21.1328
0.4252 , 21.2109
0.4490 , 21.3281
0.4741 , 21.2891
0.4998 , 21.4063
0.5256 , 21.5234
0.5507 , 21.5625
0.5745 , 21.6016
0.6002 , 21.6797
0.6118 , 21.6797
0.6247 , 21.7578
0.6382 , 21.7969
0.6504 , 21.8750
0.6627 , 21.9141
0.6755 , 22.0313
0.6878 , 22.0313
0.6994 , 22.1094
0.7135 , 22.1875
0.7264 , 22.2656
0.7386 , 22.3438
0.7509 , 22.3828
0.7624 , 22.5000
0.7760 , 22.5391
0.7869 , 22.6172
0.7998 , 22.7734
0.8126 , 22.8125
0.8242 , 23.0078
0.8384 , 23.1641
0.8500 , 23.3594
0.8629 , 23.5547
0.8758 , 23.8672
0.8873 , 24.1016
0.9009 , 24.6094
0.9118 , 25.0781
0.9202 , 25.4297
0.9299 , 25.8594
0.9409 , 26.3672
0.9499 , 26.9922
0.9538 , 27.3438
0.9596 , 27.7734
0.9641 , 28.3203
0.9699 , 28.8672
0.9745 , 29.6875
0.9797 , 30.7031
0.9849 , 31.9922
0.9894 , 33.9844
0.9915 , 36.0156
0.9942 , 38.7891
