IA2,
X,Y
0.2018 , 124.3310
0.2526 , 125.1038
0.3015 , 125.8063
0.3504 , 126.5088
0.4012 , 127.0708
0.4511 , 127.7382
0.5010 , 127.9138
0.5323 , 127.9138
0.5508 , 127.0357
0.6320 , 128.1246
0.6506 , 127.1235
0.6818 , 127.9138
0.7024 , 127.2113
0.7317 , 128.1246
0.8813 , 128.1965
0.9018 , 128.0552
0.9331 , 128.2659
0.9701 , 128.2500
0.8324 , 128.0465
0.8206 , 127.7638
0.7821 , 128.3291
0.7687 , 127.7638
0.9913 , 128.8945
0.8509 , 127.7638
0.5822 , 128.3291
0.6011 , 127.4812
0.1518 , 122.8172
0.1050 , 121.6866
0.0913 , 121.2626
0.0810 , 120.6972
0.0724 , 120.1319
0.0622 , 119.1426
0.0523 , 118.4359
0.0409 , 117.1639
0.0307 , 115.8920
0.0216 , 113.6307
0.0114 , 111.0867
