IA3,
X,Y
0.0008 , 81.1244
0.0016 , 85.3643
0.0055 , 89.8869
0.0134 , 93.5616
0.0236 , 95.2575
0.0350 , 97.3775
0.0468 , 98.7908
0.0590 , 100.0628
0.0696 , 100.7695
0.0806 , 101.3348
0.0921 , 102.1828
0.1027 , 102.8894
0.1511 , 104.0201
0.2022 , 105.2921
0.2522 , 105.7161
0.3029 , 106.4227
0.3509 , 106.5641
0.4013 , 107.1294
0.4296 , 107.6947
0.4504 , 105.7161
0.4811 , 107.8361
0.5205 , 106.5641
0.5511 , 106.7054
0.6011 , 106.8467
0.6310 , 107.4121
0.6703 , 106.5641
0.7199 , 106.1401
0.7695 , 106.1401
0.9898 , 108.5427
0.9496 , 107.4121
0.9315 , 107.8361
0.9194 , 107.6947
0.8816 , 108.6840
