IA4,
X,Y
0.0023 , 89.3567
0.0106 , 103.4610
0.0208 , 106.6493
0.0320 , 108.6650
0.0426 , 109.7594
0.0521 , 110.8863
0.0622 , 111.3345
0.0725 , 112.1073
0.0829 , 112.5589
0.0930 , 112.4585
0.1032 , 113.2720
0.1503 , 113.9487
0.1810 , 114.5661
0.2024 , 113.3172
0.2310 , 114.4850
0.2520 , 113.3172
0.2805 , 114.4934
0.3022 , 113.3172
0.3517 , 112.7017
0.4016 , 113.4033
0.4196 , 112.1853
0.4702 , 111.5219
0.5200 , 110.7023
0.5695 , 110.2771
0.6196 , 109.4143
0.6701 , 108.3674
0.7200 , 107.5410
0.7693 , 107.2775
0.8195 , 106.3116
0.8699 , 105.3017
0.9708 , 103.9220
0.9205 , 104.5854
0.0039 , 94.4095
0.0071 , 98.6495
