CIA3,
X,Y
0.9900 , 125.6757
0.9505 , 124.2278
0.9317 , 124.8069
0.9190 , 124.3726
0.8803 , 124.9517
0.8683 , 124.5174
0.8296 , 124.9517
0.8184 , 124.6622
0.7794 , 124.9517
0.7311 , 125.0965
0.6808 , 124.9517
0.6314 , 125.0965
0.5811 , 125.3861
0.5699 , 124.2278
0.5297 , 125.0965
0.5001 , 124.3726
0.4798 , 125.3861
0.4511 , 124.3726
0.4303 , 124.9517
0.4004 , 124.8069
0.3506 , 124.9517
0.3011 , 124.2278
0.2504 , 124.0830
0.2002 , 123.6486
0.1487 , 123.0695
0.1016 , 121.1873
0.0881 , 120.4633
0.0733 , 119.8842
0.0601 , 118.8707
0.0486 , 117.5676
0.0386 , 116.8436
0.0222 , 115.1062
0.0107 , 111.6313
0.0051 , 107.2876
0.0027 , 103.0888
0.0011 , 98.6004
