CIA1,
X,Y
0.9899 , 103.3784
0.9508 , 101.7857
0.9325 , 102.5097
0.9006 , 101.7857
0.8818 , 102.2201
0.8511 , 101.4961
0.8315 , 102.2201
0.8196 , 101.4961
0.7821 , 102.0753
0.7510 , 101.3514
0.7310 , 101.9305
0.7003 , 100.9170
0.6812 , 101.9305
0.6696 , 100.9170
0.6313 , 101.7857
0.6002 , 100.3378
0.5810 , 101.9305
0.5499 , 101.7857
0.5005 , 102.3649
0.4510 , 100.3378
0.4315 , 101.3514
0.4007 , 101.0618
0.3513 , 100.9170
0.3002 , 100.7722
0.2512 , 99.9035
0.2001 , 99.1795
0.1498 , 98.1660
0.1040 , 97.4421
0.0904 , 97.5869
0.0812 , 96.5734
0.0713 , 96.2838
0.0601 , 95.5598
0.0485 , 94.9807
0.0385 , 94.1120
0.0282 , 93.0985
0.0194 , 92.0849
0.0094 , 89.4788
