AC1,
X,Y
0.2400 , 115.3655
0.2800 , 118.4331
0.3200 , 120.8593
0.3600 , 123.3156
0.4000 , 126.8147
0.4400 , 130.8318
0.4800 , 134.6276
0.5200 , 137.7324
0.5600 , 141.0795
0.6000 , 144.9893
0.6400 , 149.2045
0.6800 , 153.7635
0.7200 , 157.3336
0.1929 , 112.5617
0.1726 , 111.6200
0.1523 , 109.7733
0.1294 , 107.9220
0.0990 , 104.2470
0.0660 , 101.4723
0.0406 , 95.9965
0.0076 , 78.7422
0.0025 , 46.1538
0.0025 , 19.9095
0.0025 , 3.6199
0.7640 , 163.3691
0.7944 , 167.0441
0.8198 , 171.6149
0.8477 , 176.1904
0.8782 , 182.5803
0.8985 , 188.0469
0.9137 , 193.5044
0.9340 , 199.8760
0.9543 , 206.2476
0.9645 , 213.5058
0.9822 , 222.5877
1.0000 , 267.8687
