ACF-303K,
X,Y
1.0000 , 444.3561
0.9466 , 444.3986
0.8872 , 444.4458
0.8458 , 440.9016
0.7804 , 438.5689
0.7130 , 437.4301
0.6495 , 434.3008
0.5828 , 433.9565
0.5154 , 426.8558
0.4446 , 418.1681
0.3805 , 406.6928
0.3138 , 388.0654
0.2623 , 372.2080
0.2083 , 348.8011
0.1669 , 323.3967
0.1495 , 309.4996
0.1315 , 291.6284
0.1128 , 273.7577
0.0948 , 252.3094
0.0794 , 229.6666
0.0654 , 207.8176
0.0561 , 189.9395
0.0461 , 172.4594
0.0387 , 151.7975
0.0327 , 136.6990
0.0267 , 121.6004
0.0207 , 103.7196
0.0160 , 90.2098
0.0120 , 68.7504
0.0073 , 52.8558
0.0040 , 34.9730
0.0020 , 19.0763
