ACF-Py1273-60,
X,Y
1.0000 , 479.9692
0.9542 , 480.7396
0.9006 , 481.5100
0.8541 , 480.7396
0.8044 , 479.9692
0.7540 , 479.9692
0.7050 , 479.9692
0.6540 , 480.7396
0.6043 , 479.9692
0.5552 , 480.7396
0.5036 , 479.1988
0.4526 , 479.1988
0.4022 , 476.8875
0.3518 , 474.5763
0.2989 , 469.9538
0.2544 , 463.0200
0.2014 , 451.4638
0.1511 , 437.5963
0.0968 , 412.9430
0.0820 , 403.6980
0.0600 , 389.0601
0.0400 , 371.3405
0.0181 , 343.6055
0.0123 , 333.5901
0.0071 , 322.0339
0.0045 , 312.0185
0.0013 , 296.6102
0.0006 , 271.1864
-0.0006 , 248.0740
