ACF-Py1023-60,
X,Y
0.9968 , 482.2804
0.9522 , 479.1988
0.9019 , 474.5763
0.8489 , 470.7242
0.8025 , 464.5609
0.7515 , 462.2496
0.7024 , 458.3975
0.6514 , 454.5455
0.6023 , 449.1525
0.5526 , 446.8413
0.4984 , 440.6780
0.4506 , 435.2851
0.3996 , 429.1217
0.3538 , 422.9584
0.3008 , 412.1726
0.2524 , 399.8459
0.2014 , 379.8151
0.1498 , 355.9322
0.1007 , 325.1156
0.0801 , 309.7072
0.0581 , 291.9877
0.0381 , 271.9569
0.0207 , 251.9260
0.0129 , 234.2065
0.0065 , 215.7165
0.0013 , 197.2265
-0.0006 , 170.2619
-0.0006 , 153.3128
-0.0006 , 128.6595
-0.0006 , 96.3020
-0.0006 , 59.3220
