ACF-Py1273-60-303K,
X,Y
0.9973 , 303.6587
0.9453 , 304.0976
0.8792 , 304.1501
0.8138 , 302.6123
0.7483 , 301.0745
0.6816 , 299.9352
0.6168 , 298.7943
0.5507 , 294.8722
0.4786 , 290.9550
0.4112 , 289.4187
0.3371 , 282.3234
0.2991 , 273.2122
0.2497 , 260.5329
0.2163 , 254.2001
0.1769 , 239.1281
0.1469 , 228.8181
0.1215 , 208.5680
0.0995 , 187.9178
0.0841 , 174.4164
0.0661 , 157.7376
0.0501 , 128.3386
0.0407 , 115.6274
0.0354 , 98.5410
0.0280 , 82.2512
0.0207 , 72.7180
0.0140 , 53.6455
0.0087 , 36.9565
0.0067 , 16.2904
0.0007 , 4.3715
