ACO5,
X,Y
0.9752 , 309.4215
0.9490 , 306.1157
0.8985 , 301.4876
0.8499 , 280.9917
0.8033 , 274.3802
0.7489 , 260.4959
0.7042 , 255.2066
0.6505 , 245.2893
0.6077 , 241.3223
0.5508 , 234.0496
0.5079 , 230.7438
0.4530 , 222.1488
0.4082 , 220.1653
0.3500 , 215.5372
0.3142 , 219.5041
0.2887 , 215.5372
0.2516 , 205.6198
0.2088 , 202.9752
0.1896 , 205.6198
0.1525 , 195.0413
0.1135 , 190.4132
0.1020 , 191.0744
0.0905 , 191.0744
0.0809 , 188.4298
0.0720 , 185.7851
0.0624 , 185.1240
0.0521 , 183.8017
0.0394 , 182.4793
0.0291 , 179.8347
0.0195 , 171.9008
0.0080 , 164.6281
