RK-800,
X,Y
0.9854 , 171.4220
0.9768 , 169.8879
0.9587 , 168.7419
0.9378 , 167.5968
0.9191 , 167.2197
0.8988 , 166.2666
0.8865 , 165.6949
0.8486 , 164.3642
0.8182 , 163.9916
0.7669 , 163.4348
0.7177 , 163.6459
0.6675 , 163.8573
0.6178 , 164.0686
0.5687 , 164.8562
0.5180 , 165.2600
0.4688 , 165.2789
0.4175 , 166.0673
0.3497 , 165.9012
0.2995 , 165.9205
0.2498 , 165.5552
0.1996 , 164.9980
0.1798 , 165.0056
0.1600 , 164.2445
0.1397 , 163.6758
0.1200 , 163.1069
0.1007 , 161.9613
0.0901 , 161.0045
0.0804 , 160.2395
0.0703 , 159.4748
0.0601 , 158.1335
0.0500 , 156.6000
0.0414 , 154.6816
0.0318 , 151.2262
0.0206 , 145.6576
0.0104 , 135.4764
0.0077 , 131.6340
0.0056 , 127.0228
0.0034 , 122.9880
0.0034 , 117.6072
0.0040 , 112.2262
0.0029 , 103.5790
