RK-700,
X,Y
0.9946 , 249.8241
0.9802 , 248.8688
0.9588 , 247.1475
0.9385 , 245.8101
0.9188 , 244.8568
0.8979 , 244.2883
0.8685 , 243.3388
0.8498 , 242.9616
0.8381 , 242.7740
0.8173 , 242.9742
0.7676 , 242.9932
0.7179 , 243.5889
0.6677 , 243.9925
0.6185 , 245.1644
0.5678 , 245.7604
0.5192 , 246.3556
0.4684 , 246.9516
0.4503 , 248.1116
0.4182 , 247.5474
0.3819 , 248.7144
0.3493 , 247.9583
0.3306 , 249.1185
0.3002 , 248.3615
0.2820 , 249.3293
0.2494 , 248.1888
0.2313 , 249.3488
0.2003 , 248.0156
0.1816 , 247.4462
0.1597 , 246.6860
0.1410 , 246.3088
0.1201 , 245.7403
0.1004 , 244.7870
0.0913 , 244.0219
0.0822 , 243.0645
0.0715 , 241.7234
0.0603 , 240.5747
0.0491 , 239.0416
0.0363 , 236.3562
0.0288 , 233.0921
0.0202 , 228.0990
0.0122 , 222.1448
0.0095 , 217.9181
0.0068 , 212.7305
0.0052 , 207.3503
0.0041 , 202.1621
0.0041 , 197.7422
0.0036 , 191.7851
