500stC,
X,Y
0.0200 , 216.6599
0.0400 , 233.3927
0.0600 , 243.1664
0.0800 , 249.8532
0.1000 , 255.3064
0.1200 , 260.2165
0.1400 , 264.2352
0.1600 , 267.7181
0.1800 , 270.7827
0.2000 , 274.2696
0.2200 , 277.6011
0.2400 , 280.1423
0.2600 , 282.1786
0.2800 , 284.2732
0.3000 , 286.4129
0.3200 , 288.0529
0.3400 , 289.6575
0.3600 , 291.3065
0.3800 , 292.8539
0.4000 , 294.4284
0.4200 , 295.6782
0.4400 , 297.3374
0.4600 , 299.3836
0.4800 , 299.8625
0.5000 , 299.8228
0.5200 , 300.9942
0.5400 , 302.0146
0.5600 , 303.1399
0.5800 , 304.5428
0.6000 , 305.3954
0.6200 , 306.4806
0.6400 , 307.8099
0.6600 , 308.8404
0.6800 , 309.5632
0.7000 , 310.0054
0.7200 , 311.3217
0.7400 , 312.7267
0.7600 , 313.9401
0.7800 , 315.4599
0.8000 , 316.8632
0.8200 , 318.2792
0.8400 , 319.6663
0.8600 , 321.2542
0.8800 , 323.0803
0.9000 , 324.5658
0.9200 , 327.0752
0.9400 , 329.7930
0.9600 , 332.3598
0.9800 , 335.9923
