600stC,
X,Y
0.0200 , 214.7898
0.0400 , 230.1591
0.0600 , 240.1524
0.0800 , 246.6938
0.1000 , 251.2990
0.1200 , 254.7753
0.1400 , 258.2993
0.1600 , 261.4744
0.1800 , 264.3613
0.2000 , 266.9067
0.2200 , 268.9727
0.2400 , 271.0155
0.2600 , 272.8731
0.2800 , 274.8355
0.3000 , 276.6354
0.3200 , 278.1698
0.3400 , 279.7191
0.3600 , 281.2031
0.3800 , 282.2345
0.4000 , 283.0581
0.4200 , 284.4531
0.4400 , 285.8245
0.4600 , 286.5363
0.4800 , 287.2989
0.5000 , 288.4526
0.5200 , 289.5204
0.5400 , 290.5278
0.5600 , 291.5406
0.5800 , 292.4333
0.6000 , 293.2242
0.6200 , 294.0267
0.6400 , 294.9884
0.6600 , 295.9283
0.6800 , 296.9987
0.7000 , 298.0387
0.7200 , 298.9859
0.7400 , 299.8625
0.7600 , 300.7750
0.7800 , 301.8976
0.8000 , 302.9633
0.8200 , 304.0403
0.8400 , 305.2911
0.8600 , 306.4749
0.8800 , 307.8595
0.9000 , 309.2911
0.9200 , 310.7150
0.9400 , 312.9128
0.9600 , 315.7616
0.9800 , 320.0185
