1-2-5,
X,Y
0.9929 , 258.5702
0.9864 , 256.6642
0.9785 , 255.3293
0.9696 , 253.4229
0.9580 , 250.9445
0.9478 , 250.1806
0.9385 , 248.8455
0.9293 , 248.0819
0.9200 , 247.6991
0.9079 , 246.7444
0.8958 , 246.1707
0.8457 , 242.5421
0.7969 , 239.4852
0.7472 , 238.1424
0.6961 , 236.2279
0.6460 , 233.9327
0.5972 , 231.6377
0.5480 , 229.5330
0.4969 , 226.6662
0.4481 , 224.5616
0.3994 , 222.6476
0.3548 , 220.5439
0.3070 , 216.3443
0.2596 , 213.0972
0.2062 , 208.1346
0.1528 , 203.3625
0.1003 , 194.2097
0.0892 , 192.3028
0.0790 , 190.0151
0.0697 , 188.8705
0.0618 , 186.0119
0.0516 , 182.5813
0.0414 , 180.1032
0.0326 , 174.7682
0.0270 , 170.5767
0.0178 , 164.2892
0.0108 , 158.7641
0.0090 , 153.2399
0.0067 , 149.2395
0.0062 , 143.5251
0.0030 , 136.8578
