1h,
X,Y
0.9937 , 340.1402
0.9869 , 337.5339
0.9796 , 334.5553
0.9674 , 331.9469
0.9578 , 330.4555
0.9474 , 329.1497
0.9388 , 328.0306
0.9284 , 326.7248
0.9180 , 326.3489
0.9080 , 324.8573
0.8948 , 324.1084
0.8459 , 319.9985
0.7969 , 316.4465
0.7461 , 313.4518
0.6954 , 311.0150
0.6473 , 308.2073
0.5975 , 305.9569
0.5471 , 303.1483
0.4964 , 299.7817
0.4465 , 296.6013
0.4003 , 294.5382
0.3549 , 290.9876
0.3114 , 286.1357
0.2638 , 282.0262
0.2090 , 274.9382
0.1505 , 266.5470
0.0997 , 254.2528
0.0875 , 251.6444
0.0789 , 249.0374
0.0716 , 246.0589
0.0639 , 243.0802
0.0526 , 238.2403
0.0440 , 234.1453
0.0326 , 227.6315
0.0227 , 218.8863
0.0104 , 204.5606
