1-3,
X,Y
0.9921 , 188.8557
0.9801 , 186.5677
0.9694 , 184.8514
0.9596 , 182.7543
0.9494 , 181.4190
0.9388 , 180.2741
0.9299 , 179.3201
0.9206 , 178.5564
0.9114 , 177.9832
0.8984 , 177.4093
0.8463 , 174.7327
0.7980 , 172.2473
0.7488 , 170.5237
0.6968 , 167.8471
0.6466 , 166.3137
0.5974 , 164.7805
0.5491 , 163.2475
0.4980 , 160.9521
0.4502 , 158.6573
0.3986 , 157.1236
0.3541 , 155.0199
0.3058 , 152.5345
0.2551 , 149.8582
0.2031 , 145.8483
0.1432 , 141.0750
0.1015 , 136.3051
0.0894 , 134.3981
0.0792 , 133.4437
0.0703 , 131.1563
0.0597 , 129.6305
0.0462 , 125.8184
0.0309 , 122.1964
0.0184 , 115.5274
0.0086 , 109.4303
0.0059 , 104.0964
0.0036 , 95.5246
