700stC,
X,Y
0.0200 , 142.7048
0.0400 , 153.3697
0.0600 , 158.7343
0.0800 , 162.0314
0.1000 , 164.9698
0.1200 , 166.9712
0.1400 , 168.5140
0.1600 , 170.1583
0.1800 , 171.6624
0.2000 , 172.9503
0.2200 , 174.0388
0.2400 , 175.4521
0.2600 , 176.5659
0.2800 , 177.5910
0.3000 , 178.7450
0.3200 , 179.7737
0.3400 , 180.5597
0.3600 , 181.1536
0.3800 , 181.7568
0.4000 , 182.7168
0.4200 , 183.6007
0.4400 , 184.0699
0.4600 , 184.4497
0.4800 , 184.7615
0.5000 , 185.1118
0.5200 , 185.7963
0.5400 , 186.4780
0.5600 , 187.0984
0.5800 , 187.3832
0.6000 , 187.5153
0.6200 , 188.8550
0.6400 , 189.8460
0.6600 , 190.3548
0.6800 , 190.3115
0.7000 , 189.6945
0.7200 , 190.0227
0.7400 , 190.5757
0.7600 , 191.0473
0.7800 , 191.5712
0.8000 , 192.1079
0.8200 , 192.5681
0.8400 , 193.3162
0.8600 , 194.1779
0.8800 , 194.9879
0.9000 , 195.7778
0.9200 , 196.8460
0.9400 , 198.5171
0.9600 , 200.3275
0.9800 , 202.5579
