1-5h,
X,Y
0.9927 , 313.1715
0.9864 , 310.5653
0.9778 , 308.1442
0.9683 , 306.8388
0.9592 , 304.6035
0.9483 , 303.4836
0.9383 , 301.8060
0.9284 , 301.2443
0.9184 , 300.1246
0.9084 , 299.3770
0.8962 , 298.6285
0.8459 , 295.2619
0.7969 , 291.7100
0.7457 , 289.6450
0.6967 , 287.5809
0.6464 , 284.7724
0.5979 , 282.3365
0.5471 , 279.7138
0.4968 , 277.8351
0.4474 , 274.6550
0.3985 , 272.2189
0.3527 , 268.8541
0.3128 , 265.8634
0.2638 , 261.5674
0.2094 , 255.5956
0.1519 , 247.3906
0.1002 , 237.3280
0.0888 , 234.7200
0.0802 , 232.6709
0.0716 , 229.8779
0.0653 , 226.7137
0.0576 , 223.3630
0.0476 , 218.8956
0.0372 , 213.4980
0.0272 , 206.7987
0.0195 , 199.3563
0.0104 , 191.3554
0.0068 , 182.0546
