500stC,
X,Y
0.9878 , 337.5809
0.9783 , 334.8642
0.9679 , 332.5356
0.9575 , 330.5951
0.9490 , 329.0427
0.9395 , 328.2665
0.9291 , 327.1022
0.9206 , 325.9379
0.9083 , 324.7736
0.8951 , 323.9974
0.8458 , 319.7283
0.7957 , 316.2354
0.7464 , 312.7426
0.6953 , 310.4140
0.6461 , 308.0854
0.5959 , 305.3687
0.5467 , 302.2639
0.4965 , 299.9353
0.4464 , 296.8305
0.3990 , 293.7257
0.3536 , 290.2329
0.3129 , 286.3519
0.2637 , 281.6947
0.2069 , 274.3208
0.1492 , 265.7827
0.1029 , 255.6921
0.0877 , 252.5873
0.0792 , 250.2587
0.0707 , 247.5420
0.0632 , 243.6611
0.0566 , 240.1682
0.0490 , 236.6753
0.0443 , 232.4062
0.0358 , 228.9133
0.0264 , 222.3157
0.0189 , 213.7775
0.0123 , 205.6274
0.0085 , 201.3583
0.0067 , 193.2083
