300stC,
X,Y
0.0200 , 136.2866
0.0400 , 146.5565
0.0600 , 152.7895
0.0800 , 157.0383
0.1000 , 160.0584
0.1200 , 162.4090
0.2200 , 171.5043
0.2400 , 173.0159
0.2600 , 174.0295
0.2800 , 175.5468
0.3000 , 177.2527
0.3200 , 178.3595
0.3400 , 179.2761
0.3600 , 180.0745
0.3800 , 180.8717
0.4000 , 182.6545
0.4200 , 184.2641
0.4400 , 184.1287
0.4600 , 185.1109
0.4800 , 186.2223
0.5000 , 187.1119
0.5200 , 186.8536
0.5400 , 187.8838
0.5600 , 188.6329
0.5800 , 189.4786
0.6000 , 190.2258
0.6200 , 190.6825
0.6400 , 191.7453
0.6600 , 192.3394
0.6800 , 193.0074
0.7000 , 193.5023
0.7200 , 194.3066
0.7400 , 195.1091
0.7600 , 195.2592
0.7800 , 196.6306
0.8000 , 197.7732
0.8200 , 198.2988
0.8400 , 199.2496
0.8600 , 199.9834
0.8800 , 201.1294
0.9000 , 202.7416
0.9200 , 203.9480
0.9400 , 206.0044
0.9600 , 208.5697
0.9800 , 211.5896
0.1896 , 168.3700
0.1678 , 166.0414
0.1508 , 164.8771
0.2047 , 169.5343
