700stC,
X,Y
0.9905 , 203.6869
0.9801 , 202.1345
0.9706 , 200.5821
0.9593 , 199.8060
0.9489 , 198.6417
0.9394 , 197.8655
0.9290 , 197.4774
0.9176 , 196.7012
0.9091 , 195.5369
0.8968 , 194.7607
0.8485 , 193.2083
0.7993 , 192.0440
0.7472 , 190.1035
0.6989 , 189.3273
0.6478 , 187.7749
0.5995 , 186.6106
0.5493 , 184.6701
0.4982 , 183.8939
0.4490 , 183.1177
0.3997 , 181.1772
0.3524 , 179.6248
0.2520 , 176.5201
0.2019 , 173.0272
0.1460 , 168.7581
0.1006 , 164.1009
0.0864 , 162.9366
0.0741 , 161.3842
0.0656 , 159.8318
0.0552 , 157.8913
0.0438 , 155.5627
0.0344 , 152.4580
0.0240 , 147.4127
0.0174 , 142.7555
0.0127 , 136.9340
0.0099 , 130.7245
