600stC,
X,Y
0.9926 , 322.8331
0.9850 , 320.1164
0.9775 , 318.1759
0.9690 , 316.2354
0.9586 , 314.2950
0.9482 , 313.1307
0.9387 , 311.9664
0.9273 , 311.1902
0.9188 , 310.4140
0.9093 , 310.0259
0.8970 , 308.4735
0.8459 , 305.3687
0.7948 , 301.8758
0.7456 , 299.5472
0.6973 , 297.6067
0.6452 , 294.8900
0.5960 , 292.5614
0.5458 , 290.6210
0.4957 , 287.9043
0.4957 , 287.9043
0.4455 , 285.1876
0.3982 , 282.8590
0.3489 , 279.7542
0.3073 , 276.6494
0.2609 , 272.3803
0.2051 , 266.9470
0.1511 , 259.9612
0.1019 , 251.8111
0.0897 , 248.3182
0.0783 , 245.6016
0.0670 , 242.8849
0.0585 , 239.3920
0.0519 , 235.8991
0.0424 , 232.4062
0.0358 , 228.1371
0.0273 , 223.4799
0.0198 , 216.4942
0.0104 , 206.7917
0.0076 , 197.8655
