300stC,
X,Y
0.0174 , 137.7102
0.0326 , 144.3079
0.0429 , 147.4127
0.0477 , 149.7413
0.0600 , 152.4580
0.0675 , 154.3984
0.0789 , 156.3389
0.0883 , 157.8913
0.0987 , 159.8318
0.1517 , 165.2652
0.2047 , 170.3105
0.2577 , 174.1915
0.4963 , 185.8344
0.5446 , 188.1630
0.5967 , 190.1035
0.6459 , 190.8797
0.6961 , 192.8202
0.7462 , 195.1488
0.7964 , 197.0893
0.8447 , 199.4179
0.8930 , 201.3583
0.9081 , 202.1345
0.9195 , 203.2988
0.9290 , 203.6869
0.9413 , 204.8512
0.9526 , 206.0155
0.9678 , 207.9560
0.9782 , 210.2846
0.9867 , 212.6132
0.3041 , 176.9082
