1.5h_f5,
X,Y
0.0800 , 687.2553
0.1000 , 710.7662
0.1200 , 726.0739
0.1400 , 739.2120
0.1600 , 750.7987
0.1800 , 760.0051
0.2000 , 768.1690
0.2200 , 775.3975
0.2400 , 780.2490
0.2600 , 785.6739
0.2800 , 791.4360
0.3000 , 796.1492
0.3200 , 800.1142
0.3400 , 803.6346
0.3600 , 806.7177
0.3800 , 809.8498
0.4000 , 812.7993
0.4200 , 815.9030
0.4400 , 818.7334
0.4600 , 821.0957
0.4800 , 823.5393
0.5000 , 825.9594
0.5200 , 828.0768
0.5400 , 829.7633
0.5600 , 831.1692
0.5800 , 832.8158
0.6000 , 834.7754
0.6200 , 836.8423
0.6400 , 838.6115
0.6600 , 839.7915
0.6800 , 841.1334
0.7000 , 842.7591
0.7200 , 844.3771
0.7400 , 845.6050
0.7600 , 846.6671
0.7800 , 848.3172
0.8000 , 850.3979
0.8200 , 852.5696
0.8400 , 854.4011
0.8600 , 855.8086
0.8800 , 857.2126
0.9000 , 858.7799
0.9200 , 861.0636
0.9400 , 865.1829
0.9600 , 871.3621
0.9800 , 879.1896
0.0563 , 659.6203
0.0460 , 642.5316
0.0150 , 558.2278
0.0099 , 537.7215
