900_f3,
X,Y
0.0068 , 380.2496
0.2020 , 631.2863
0.2496 , 652.5031
0.2999 , 666.4224
0.3504 , 677.5305
0.3999 , 683.5334
0.4501 , 690.0227
0.5009 , 696.4218
0.5517 , 702.5109
0.6014 , 706.8957
0.6515 , 711.1651
0.7024 , 715.5674
0.7507 , 720.3735
0.8023 , 726.1977
0.8506 , 732.9831
0.9014 , 743.2324
0.9505 , 763.9310
0.9939 , 769.9763
0.1498 , 600.4175
0.0989 , 554.4526
0.0103 , 395.3622
0.0479 , 485.7317
0.0051 , 365.2222
0.0041 , 348.1575
0.0021 , 300.3746
0.0010 , 288.4300
0.0010 , 274.7764
0.0005 , 252.5905
0.0010 , 210.4907
0.0005 , 155.3086
0.0015 , 137.6703
0.0010 , 116.0533
0.0015 , 81.3492
0.0026 , 24.4568
