S3,
X,Y
0.0085 , 445.0231
0.0210 , 481.7045
0.0350 , 518.7090
0.0514 , 549.3646
0.0708 , 578.3717
0.0953 , 605.8305
0.1237 , 630.2028
0.1527 , 650.8679
0.1810 , 672.4375
0.2135 , 688.1868
0.2416 , 702.0973
0.2695 , 718.8906
0.3011 , 732.9593
0.3306 , 744.4020
0.3589 , 759.8385
0.3889 , 774.9171
0.4191 , 788.3968
0.4487 , 799.0863
0.4784 , 812.1096
0.5103 , 827.3328
0.5354 , 839.8968
0.5668 , 854.2841
0.5983 , 860.7318
0.6259 , 876.2483
0.6555 , 887.2834
0.6850 , 900.7734
0.7146 , 914.1784
0.7441 , 925.5418
0.7745 , 936.7112
0.8021 , 949.4038
0.8336 , 962.4810
0.8617 , 973.6623
0.8933 , 987.0230
0.9225 , 999.2365
0.9441 , 1009.6714
