S2,
X,Y
0.9916 , 560.0243
0.9790 , 551.2778
0.9622 , 545.4591
0.9426 , 541.1052
0.9272 , 538.2061
0.9104 , 535.3090
0.8936 , 530.9511
0.8768 , 529.5148
0.8627 , 526.6136
0.8403 , 522.2639
0.8221 , 519.3688
0.8039 , 516.4738
0.7675 , 512.1445
0.7409 , 507.8009
0.7213 , 504.9079
0.6989 , 503.4798
0.6471 , 497.7122
0.6303 , 494.8151
0.6148 , 493.3768
0.5980 , 490.4797
0.5532 , 487.6235
0.5322 , 484.7326
0.5140 , 483.2984
0.4972 , 480.4013
0.4566 , 477.5390
0.4412 , 476.1006
0.4244 , 473.2035
0.4090 , 471.7652
0.3950 , 468.8640
0.3669 , 465.9833
0.3501 , 464.5470
0.3305 , 461.6540
0.3151 , 458.7549
0.2969 , 455.8598
0.2787 , 454.4256
0.2647 , 451.5244
0.2465 , 448.6294
0.2297 , 444.2715
0.2101 , 439.9176
0.1891 , 434.1050
0.1681 , 428.2924
0.1499 , 422.4757
0.1317 , 416.6590
0.1092 , 406.4660
0.0924 , 399.1864
0.0742 , 388.9873
0.0574 , 377.3252
0.0434 , 365.6591
0.0308 , 349.6085
0.0224 , 336.4733
0.0126 , 320.4186
0.0084 , 308.7382
