S1,
X,Y
0.9986 , 259.0845
0.9958 , 241.5587
0.9790 , 235.7400
0.9636 , 232.8408
0.9496 , 229.9396
0.9328 , 224.1209
0.9160 , 219.7630
0.8992 , 218.3267
0.8908 , 216.8781
0.8768 , 213.9770
0.8613 , 211.0778
0.8487 , 208.1746
0.8361 , 206.7322
0.8053 , 202.3947
0.7675 , 198.0675
0.7311 , 193.7382
0.6961 , 190.8677
0.6583 , 189.4621
0.6275 , 186.5855
0.5924 , 183.7150
0.5546 , 182.3094
0.5210 , 179.4369
0.4846 , 178.0292
0.4510 , 175.1567
0.4146 , 173.7491
0.3810 , 172.3374
0.3473 , 169.4648
0.3137 , 166.5923
0.2983 , 165.1540
0.2717 , 163.7320
0.2381 , 162.3203
0.2045 , 159.4477
0.1765 , 156.5670
0.1415 , 150.7749
0.1064 , 147.9044
0.0742 , 142.1081
0.0560 , 137.7523
0.0420 , 134.8511
0.0266 , 130.4911
0.0154 , 123.2034
0.0084 , 117.3703
