S1,
X,Y
0.0142 , 118.3602
0.0431 , 133.0695
0.0713 , 139.9554
0.1049 , 147.7503
0.1355 , 152.7482
0.1650 , 155.5064
0.1935 , 158.5719
0.2231 , 160.9481
0.2526 , 163.7064
0.2821 , 166.2099
0.3117 , 167.6948
0.3412 , 169.5617
0.3708 , 171.8106
0.4003 , 174.4415
0.4299 , 175.9264
0.4594 , 178.3027
0.4890 , 180.8063
0.5185 , 182.4185
0.5480 , 186.3228
0.5786 , 186.6013
0.6094 , 186.3331
0.6351 , 188.8570
0.6632 , 191.5823
0.6937 , 191.1126
0.7280 , 194.0264
0.7611 , 194.7270
0.7917 , 198.5732
0.8166 , 200.3195
0.8462 , 204.5421
0.8751 , 208.1896
0.9038 , 214.9707
0.9371 , 222.0727
0.9629 , 226.9909
0.9953 , 242.9336
