PR2_600_f2_2,
X,Y
0.9913 , 198.8886
0.9393 , 196.6772
0.8898 , 196.2444
0.8635 , 196.1024
0.8353 , 195.5162
0.8084 , 195.8191
0.7655 , 195.5329
0.7405 , 195.2424
0.7160 , 195.2483
0.6884 , 195.2549
0.6640 , 194.8160
0.6395 , 194.6736
0.6144 , 193.9384
0.5887 , 193.9446
0.5630 , 193.9507
0.5391 , 193.9565
0.5141 , 193.3695
0.4871 , 193.3759
0.4633 , 193.0851
0.4382 , 192.6464
0.3886 , 192.2135
0.3617 , 191.4787
0.3366 , 191.7813
0.3121 , 191.3424
0.2870 , 191.0519
0.2607 , 190.4652
0.2350 , 189.5818
0.2112 , 188.9946
0.1867 , 188.7039
0.1616 , 187.8204
0.1365 , 186.9369
0.1102 , 185.3125
0.0845 , 182.9466
0.0594 , 180.1358
0.0478 , 177.7666
0.0380 , 175.3969
0.0300 , 172.4338
0.0221 , 169.0259
0.0166 , 165.9139
0.0117 , 161.9123
0.0111 , 158.7991
