PR4_600_f2_4,
X,Y
0.9867 , 260.7333
0.9414 , 259.7349
0.9161 , 259.1528
0.8915 , 258.7349
0.8662 , 258.4807
0.8389 , 257.9800
0.8149 , 257.8082
0.7909 , 257.3085
0.7650 , 257.0541
0.7390 , 256.7997
0.7137 , 256.3815
0.6897 , 256.0458
0.6644 , 255.6277
0.6398 , 255.1278
0.6138 , 254.6275
0.5885 , 254.4553
0.5632 , 254.0371
0.5386 , 253.4553
0.5140 , 252.9554
0.4867 , 252.4547
0.4627 , 251.9550
0.4374 , 251.3729
0.4128 , 251.0370
0.3881 , 250.6191
0.3622 , 249.9548
0.3369 , 249.6187
0.3123 , 248.7909
0.2883 , 248.1273
0.2643 , 247.4637
0.2364 , 246.6349
0.2111 , 245.8069
0.1871 , 244.8154
0.1618 , 243.9875
0.1378 , 242.5862
0.1125 , 240.6107
0.0832 , 238.1420
0.0599 , 234.2000
0.0519 , 232.6400
0.0453 , 230.8345
0.0386 , 228.9471
0.0340 , 226.9783
0.0300 , 225.3377
0.0273 , 223.6975
0.0233 , 221.8929
0.0226 , 219.7615
0.0173 , 217.6286
0.0153 , 215.0050
0.0120 , 211.0695
0.0093 , 207.7080
