PR1_600,
X,Y
0.0109 , 211.1593
0.0183 , 217.3423
0.0269 , 222.5168
0.0359 , 226.5488
0.0528 , 230.0164
0.0766 , 233.7916
0.0979 , 235.8711
0.1239 , 237.6505
0.1508 , 238.9248
0.1731 , 239.5877
0.1976 , 240.5615
0.2233 , 241.5275
0.2490 , 242.2216
0.2749 , 242.6654
0.2978 , 242.9221
0.3219 , 243.4990
0.3488 , 244.3146
0.3737 , 244.5311
0.3986 , 245.0075
0.4236 , 245.3106
0.4485 , 245.6426
0.4734 , 246.1623
0.4993 , 246.5159
0.5226 , 246.4369
0.5475 , 246.7613
0.5710 , 246.9576
0.5967 , 247.2515
0.6213 , 247.5527
0.6479 , 248.2072
0.6729 , 248.2121
0.6978 , 248.3708
0.7227 , 248.7028
0.7477 , 248.9771
0.7726 , 248.9807
0.7975 , 249.4700
0.8216 , 249.4095
0.8474 , 249.8432
0.8723 , 249.9587
0.8972 , 250.0199
0.9218 , 250.1878
0.9456 , 250.3835
0.9936 , 251.2199
