PRO_f2_4,
X,Y
0.9887 , 289.3406
0.9407 , 288.0953
0.9134 , 287.8405
0.8881 , 287.5863
0.8615 , 287.4136
0.8142 , 287.1522
0.7876 , 286.9795
0.7630 , 286.8075
0.7383 , 286.5536
0.7137 , 286.3815
0.6884 , 286.1273
0.6618 , 285.7907
0.6372 , 285.6187
0.6125 , 285.2008
0.5872 , 285.0286
0.5626 , 284.7746
0.5366 , 284.4382
0.5113 , 284.1840
0.4867 , 283.7661
0.4640 , 283.6767
0.4374 , 283.0942
0.4101 , 282.8394
0.3862 , 282.3397
0.3602 , 282.0033
0.3356 , 281.6674
0.3116 , 281.1677
0.2863 , 280.5037
0.2597 , 280.0851
0.2357 , 279.4215
0.2104 , 278.8395
0.1844 , 277.8474
0.1605 , 276.8559
0.1365 , 275.6185
0.1112 , 274.1348
0.0812 , 271.5840
0.0586 , 268.6258
0.0513 , 267.0660
0.0446 , 265.5064
0.0386 , 264.1110
0.0326 , 262.4697
0.0286 , 260.9930
0.0266 , 259.6809
0.0226 , 258.2861
0.0213 , 256.5644
0.0173 , 254.4319
0.0140 , 251.8079
0.0120 , 248.4466
0.0087 , 245.0028
