PRO,
X,Y
0.0175 , 253.4844
0.0122 , 246.0952
0.0314 , 260.7701
0.0562 , 266.2082
0.0899 , 271.8222
0.1262 , 274.4407
0.1625 , 276.1193
0.1988 , 277.7766
0.2351 , 278.8232
0.2713 , 279.8107
0.3076 , 280.5553
0.3439 , 281.3413
0.3802 , 282.0221
0.4164 , 282.6989
0.4527 , 283.2249
0.4890 , 284.0613
0.5252 , 284.5820
0.5615 , 284.8802
0.5978 , 285.2666
0.6340 , 285.9013
0.6703 , 286.2884
0.7065 , 286.5623
0.7428 , 286.8218
0.7791 , 287.1345
0.8153 , 287.4684
0.8516 , 287.5503
0.8878 , 287.5352
0.9241 , 287.7866
0.9910 , 288.8175
0.0399 , 263.6882
0.0205 , 256.8516
0.0139 , 249.1154
