PRO_f2_2,
X,Y
0.0107 , 245.8459
0.0234 , 258.0807
0.0182 , 252.1079
0.0457 , 263.5539
0.0689 , 268.8605
0.0940 , 271.5397
0.1182 , 273.7059
0.1424 , 275.0022
0.1657 , 275.6910
0.1907 , 277.0962
0.2149 , 277.9375
0.2387 , 278.4058
0.2632 , 279.2328
0.2874 , 279.7837
0.3116 , 280.2135
0.3358 , 280.7160
0.3599 , 281.2087
0.3841 , 281.6725
0.4083 , 282.1410
0.4325 , 282.3046
0.4566 , 282.4683
0.4808 , 283.0853
0.5050 , 283.3618
0.5292 , 283.6707
0.5533 , 283.6810
0.5775 , 284.4324
0.6017 , 284.6278
0.6259 , 284.9893
0.6500 , 285.0002
0.6742 , 285.2171
0.6984 , 285.2758
0.7226 , 285.2410
0.7467 , 285.8757
0.7709 , 286.1525
0.7951 , 286.2740
0.8193 , 286.5489
0.8434 , 287.0538
0.8676 , 286.8844
0.8918 , 286.8292
0.9160 , 287.1066
0.9401 , 287.2137
0.9643 , 288.4648
0.9885 , 288.1105
