PR4_600_f2_4,
X,Y
0.0096 , 208.0971
0.0128 , 211.4724
0.0170 , 215.6249
0.0216 , 219.2657
0.0258 , 222.4347
0.0326 , 225.5222
0.0404 , 228.4625
0.0480 , 231.3742
0.0611 , 233.7507
0.0845 , 237.9156
0.1077 , 240.3317
0.1337 , 242.0894
0.1560 , 243.8160
0.1810 , 244.7340
0.2045 , 245.7100
0.2294 , 246.5385
0.2543 , 247.4590
0.2776 , 248.0404
0.3018 , 248.8989
0.3251 , 249.5982
0.3503 , 249.9155
0.3738 , 250.3455
0.3979 , 250.6847
0.4221 , 251.1824
0.4458 , 251.6948
0.4692 , 252.1922
0.4950 , 252.8099
0.5179 , 252.8006
0.5440 , 253.4569
0.5682 , 253.8226
0.5925 , 254.3857
0.6167 , 254.6527
0.6410 , 255.0923
0.6649 , 255.4791
0.6895 , 256.0289
0.7137 , 256.1664
0.7380 , 256.8582
0.7622 , 257.1095
0.7865 , 257.1877
0.8107 , 257.7878
0.8350 , 258.0322
0.8592 , 258.2930
0.8834 , 258.5814
0.9086 , 259.0164
0.9310 , 259.4535
0.9981 , 260.9997
0.9534 , 259.9847
0.9760 , 260.1561
