PR2_600_f2_2,
X,Y
0.0116 , 160.5313
0.0215 , 168.4201
0.0361 , 173.9831
0.0555 , 178.1598
0.0824 , 182.7984
0.1050 , 185.1238
0.1292 , 186.8606
0.1552 , 187.0756
0.1794 , 188.0777
0.2017 , 189.1182
0.2250 , 189.5564
0.2508 , 190.1270
0.2751 , 190.6536
0.2975 , 190.9810
0.3226 , 191.4369
0.3468 , 191.9393
0.3709 , 192.0182
0.3951 , 192.2181
0.4193 , 192.6964
0.4434 , 192.9326
0.4671 , 193.1503
0.4918 , 194.1069
0.5151 , 193.5393
0.5401 , 194.0953
0.5639 , 193.9635
0.5881 , 194.1840
0.6127 , 194.2443
0.6377 , 194.6340
0.6619 , 194.5246
0.6856 , 195.4581
0.7094 , 195.7247
0.7344 , 195.3799
0.7598 , 195.3405
0.7819 , 196.4818
0.8069 , 195.8130
0.8302 , 195.9115
0.8544 , 196.5128
0.8805 , 196.0674
0.9020 , 196.4933
0.9269 , 196.8826
0.9511 , 197.2157
0.9762 , 197.9841
0.9951 , 198.7402
