PRO_f2_2,
X,Y
0.9877 , 288.1372
0.9381 , 287.1113
0.9130 , 286.6726
0.8885 , 286.2337
0.8616 , 286.2401
0.8127 , 285.8071
0.7888 , 285.6646
0.7637 , 285.2259
0.7368 , 285.2323
0.7129 , 285.2380
0.6872 , 284.9477
0.6627 , 284.6571
0.6383 , 284.6629
0.6113 , 284.0764
0.5875 , 284.2304
0.5624 , 283.7916
0.5373 , 283.2046
0.5122 , 283.2107
0.4871 , 282.9202
0.4620 , 282.7779
0.4370 , 282.7840
0.4106 , 282.1973
0.3862 , 281.7584
0.3605 , 281.3198
0.3366 , 281.1773
0.3115 , 280.5903
0.2870 , 279.7066
0.2601 , 279.7131
0.2356 , 278.9777
0.2112 , 278.3906
0.1867 , 277.5069
0.1616 , 276.4752
0.1359 , 275.4436
0.1108 , 273.9671
0.0839 , 271.1567
0.0582 , 267.9014
0.0484 , 265.9764
0.0386 , 263.3102
0.0325 , 260.6432
0.0251 , 258.4211
0.0080 , 244.1931
0.0117 , 247.3055
0.0141 , 251.1594
0.0190 , 254.1233
0.0215 , 256.4948
