PRO,
X,Y
0.9891 , 289.2354
0.9415 , 287.9760
0.9172 , 287.7061
0.8921 , 287.3463
0.8645 , 287.0765
0.8151 , 286.8066
0.7907 , 286.8066
0.7657 , 286.5367
0.7406 , 286.1769
0.7149 , 286.1769
0.6899 , 285.9970
0.6649 , 285.7271
0.6392 , 285.5472
0.6141 , 285.1874
0.5898 , 284.9175
0.5654 , 284.6477
0.5384 , 284.0180
0.5133 , 283.6582
0.4909 , 283.6582
0.4703 , 283.4783
0.0093 , 244.7976
0.0132 , 248.3958
0.0152 , 251.8141
0.0185 , 254.4228
0.0224 , 256.5817
0.0244 , 258.2009
0.0276 , 260.0000
0.0334 , 262.0690
0.0386 , 263.5082
0.0438 , 264.9475
0.0508 , 266.5667
0.0586 , 267.9160
0.0850 , 271.6042
0.1113 , 274.0330
0.1383 , 275.8321
0.1634 , 276.7316
0.1891 , 277.7211
0.2109 , 278.4408
0.2366 , 279.3403
0.2623 , 279.9700
0.2873 , 280.5997
0.3137 , 281.3193
0.3368 , 281.6792
0.3618 , 282.2189
0.3894 , 282.5787
0.4138 , 283.1184
0.4389 , 283.2984
