PR3_600_f2_3,
X,Y
0.0200 , 187.7780
0.0400 , 195.0241
0.0600 , 199.6701
0.0800 , 202.3243
0.1000 , 204.0302
0.1200 , 205.4037
0.1400 , 206.6259
0.1600 , 207.4368
0.1800 , 208.1157
0.2000 , 208.7006
0.2200 , 209.1036
0.2400 , 209.5040
0.2600 , 209.9650
0.2800 , 210.3461
0.3000 , 210.7341
0.3200 , 211.1226
0.3400 , 211.4886
0.3600 , 211.7725
0.3800 , 212.0800
0.4000 , 212.3206
0.4200 , 212.6080
0.4400 , 212.9763
0.4600 , 213.3928
0.4800 , 213.8326
0.5000 , 214.1792
0.5200 , 214.5549
0.5400 , 214.7691
0.5600 , 214.8932
0.5800 , 215.0367
0.6000 , 215.1340
0.6200 , 215.4331
0.6400 , 215.5237
0.6600 , 215.4386
0.6800 , 215.7248
0.7000 , 215.9929
0.7200 , 216.1946
0.7400 , 216.3261
0.7600 , 216.3387
0.7800 , 216.6966
0.8000 , 216.7505
0.8200 , 216.5968
0.8400 , 216.8222
0.8600 , 216.8774
0.8800 , 216.9017
0.9000 , 217.2421
0.9200 , 217.3439
0.9400 , 217.4315
0.9600 , 217.7442
0.9800 , 217.7777
0.0490 , 197.8797
0.0309 , 192.4325
0.0253 , 190.0363
0.0155 , 184.5909
0.0085 , 180.2348
