AC-900,
X,Y
-0.0047 , 135.5986
-0.0011 , 96.5286
-0.0006 , 19.1593
0.0030 , 202.0522
0.0144 , 218.7568
0.0260 , 230.8757
0.0439 , 240.7115
0.0653 , 247.8826
0.0833 , 252.2486
0.0991 , 255.3579
0.1267 , 260.2963
0.1534 , 263.9769
0.1810 , 272.8661
0.2052 , 273.7129
0.2285 , 277.6629
0.2518 , 278.0856
0.2759 , 281.5530
0.3001 , 283.4123
0.3242 , 284.7951
0.3493 , 286.7805
0.3717 , 288.0631
0.3976 , 287.9710
0.4459 , 291.4381
0.4960 , 293.9531
0.5461 , 295.9386
0.5953 , 298.2215
0.6453 , 300.1541
0.6954 , 302.0867
0.7446 , 303.7211
0.7955 , 305.1777
0.8447 , 306.2628
0.8706 , 307.0178
0.8965 , 307.6139
0.9164 , 308.2797
0.9371 , 309.1246
0.9561 , 309.9090
0.9777 , 311.9455
