AC-800,
X,Y
-0.0015 , 103.3779
-0.0010 , 83.0917
-0.0016 , 41.2558
-0.0006 , 162.9194
0.0606 , 249.8541
0.0802 , 256.5762
0.0990 , 260.2949
0.1128 , 262.6926
0.1361 , 268.8358
0.1775 , 277.5458
0.2150 , 283.5457
0.2310 , 285.3410
0.2532 , 287.6162
0.2759 , 291.0351
0.3000 , 292.5727
0.3207 , 295.7762
0.3406 , 297.1816
0.3760 , 300.6182
0.4165 , 303.7052
0.4562 , 307.3794
0.4925 , 310.7341
0.5373 , 313.9119
0.5779 , 315.8423
0.6159 , 316.9465
0.6564 , 319.4848
0.6970 , 321.4687
0.7359 , 323.2957
0.7756 , 324.7897
0.8161 , 326.3447
0.8550 , 327.3925
0.8860 , 328.1406
0.9050 , 328.4106
0.9240 , 328.7240
0.9430 , 329.1239
0.9620 , 329.8271
0.9810 , 331.7865
0.9957 , 335.9030
