AC-700,
X,Y
0.0712 , 172.1189
0.0895 , 176.3904
0.1271 , 182.2704
0.1522 , 184.4147
0.1763 , 188.6893
0.2033 , 190.8346
0.2274 , 192.4456
0.2506 , 194.5889
0.2757 , 196.7331
0.3008 , 197.8120
0.3249 , 198.3575
0.3490 , 199.9686
0.3731 , 199.9814
0.3992 , 201.0607
0.4475 , 202.1519
0.4967 , 203.7763
0.5459 , 204.3352
0.5970 , 205.9607
0.6453 , 207.5845
0.6955 , 209.2095
0.7447 , 210.8338
0.7949 , 212.9915
0.8470 , 213.5520
0.8711 , 214.0975
0.8982 , 215.1774
0.9155 , 216.2521
0.9377 , 216.7966
0.9377 , 216.7966
0.9570 , 216.8069
