AC-1000,
X,Y
0.4491 , 190.6959
0.9879 , 217.8888
0.9792 , 215.2206
0.9551 , 210.9459
0.9378 , 209.3385
0.9175 , 207.7296
0.8963 , 206.6528
0.8702 , 204.5080
0.8451 , 202.8965
0.7969 , 200.2072
0.7462 , 198.8484
0.6955 , 198.0223
0.6463 , 195.8652
0.5971 , 195.3062
0.5460 , 193.6808
0.4977 , 192.0569
0.3742 , 188.2620
0.3491 , 187.1832
0.3249 , 187.1704
0.3008 , 186.0921
0.2757 , 185.5460
0.2256 , 182.3229
0.1773 , 179.1008
0.1271 , 176.4105
0.0895 , 172.1286
0.0654 , 168.9195
0.0413 , 163.5794
0.0317 , 158.7797
0.0259 , 155.5803
0.0172 , 151.8466
0.0067 , 143.3174
0.0019 , 131.0622
0.0019 , 125.7350
-0.0003 , 4.8053
