AC-1000,
X,Y
0.0013 , 127.9981
-0.0013 , 68.4796
-0.0005 , 5.1411
0.0093 , 143.5580
0.0255 , 155.3227
0.0445 , 161.9144
0.0635 , 167.3902
0.0825 , 171.1129
0.1015 , 173.4572
0.1275 , 176.3436
0.1534 , 178.5606
0.1737 , 179.5832
0.1919 , 180.8407
0.2095 , 182.2000
0.2295 , 183.0651
0.2492 , 183.3419
0.2700 , 185.2586
0.2872 , 185.8576
0.3021 , 185.7344
0.3246 , 186.9050
0.3479 , 187.7667
0.3747 , 188.4381
0.3998 , 189.5645
0.4490 , 191.5427
0.4983 , 191.8108
0.5476 , 193.1959
0.5986 , 194.5704
0.6478 , 195.7334
0.6963 , 196.8133
0.7479 , 199.1062
0.7968 , 200.9776
0.8484 , 202.6234
0.8743 , 203.7688
0.8985 , 205.4076
0.9184 , 206.8812
0.9392 , 208.9760
0.9590 , 212.6161
0.9815 , 215.0722
0.9962 , 217.4079
