AC-800,
X,Y
-0.0029 , 103.4241
-0.0013 , 162.9309
-0.0074 , 122.2515
-0.0019 , 83.3960
-0.0013 , 41.4875
0.0626 , 249.9990
0.0810 , 256.1577
0.0998 , 259.9904
0.1136 , 262.1314
0.1370 , 268.5941
0.1793 , 277.5679
0.2295 , 284.8632
0.2558 , 287.2289
0.2770 , 290.5594
0.3021 , 292.2643
0.3220 , 295.4362
0.3410 , 296.4472
0.3764 , 300.1260
0.4179 , 303.3659
0.4568 , 306.9025
0.4940 , 310.4709
0.5398 , 313.1194
0.5796 , 315.3595
0.6176 , 316.3387
0.6582 , 318.9609
0.6980 , 320.9698
0.7377 , 322.6086
0.7784 , 324.1258
0.8173 , 325.6219
0.8570 , 326.4677
0.8899 , 327.3568
0.9089 , 327.7893
0.9279 , 328.3084
0.9469 , 328.9572
0.9660 , 329.7790
0.9850 , 331.1631
0.9988 , 335.0212
