AC-600,
X,Y
-0.0075 , 54.4684
-0.0065 , 72.2650
0.0015 , 85.2080
0.0128 , 93.8367
0.0254 , 95.9938
0.0380 , 98.6903
0.0604 , 100.8475
0.0809 , 101.9260
0.0897 , 101.9260
0.1189 , 103.5439
0.1424 , 104.6225
0.1678 , 105.1618
0.1923 , 105.1618
0.2157 , 106.2404
0.2412 , 105.7011
0.2656 , 106.2404
0.2911 , 106.7797
0.3155 , 107.3190
0.3419 , 107.3190
0.3644 , 107.8582
0.3898 , 108.3975
0.4398 , 107.8582
0.4897 , 108.3975
0.5386 , 108.9368
0.5885 , 108.9368
0.6385 , 108.3975
0.6893 , 109.4761
0.7383 , 108.9368
0.7882 , 109.4761
0.8381 , 110.0154
0.8655 , 110.5547
0.8900 , 110.5547
0.9095 , 111.0940
0.9281 , 111.6333
0.9476 , 111.6333
0.9701 , 112.7119
0.9779 , 113.7904
