AC-700,
X,Y
-0.0074 , 63.3820
0.0152 , 150.1399
0.0355 , 159.7650
0.0630 , 172.1401
0.0807 , 176.8998
0.1039 , 179.9936
0.1146 , 181.8498
0.1386 , 184.3918
0.1644 , 187.7412
0.1893 , 189.3939
0.2142 , 191.9720
0.2384 , 193.0297
0.2624 , 195.3038
0.2857 , 196.6047
0.3115 , 197.7233
0.3357 , 198.8537
0.3598 , 199.5676
0.3849 , 199.5875
0.4331 , 201.3855
0.4814 , 203.7578
0.5297 , 204.3154
0.5798 , 205.9337
0.6306 , 207.7582
0.6807 , 209.2654
0.7307 , 210.6933
0.7807 , 212.3592
0.8291 , 212.9938
0.8610 , 213.4539
0.8800 , 213.7871
0.9123 , 213.7871
0.9320 , 214.3650
0.9492 , 215.8609
0.9677 , 220.8472
