AC-700,
X,Y
-0.0013 , 63.4924
0.0262 , 150.2169
0.0471 , 159.8383
0.0753 , 172.2086
0.0933 , 176.9664
0.1167 , 180.0590
0.1275 , 181.9146
0.1517 , 184.4556
0.1776 , 187.8037
0.2027 , 189.4557
0.2277 , 192.0329
0.2519 , 193.0902
0.2761 , 195.3633
0.2995 , 196.6638
0.3254 , 197.7819
0.3496 , 198.9119
0.3738 , 199.6256
0.3989 , 199.6454
0.4473 , 201.4428
0.4957 , 203.8141
0.5441 , 204.3715
0.5943 , 205.9891
0.6453 , 207.8130
0.6954 , 209.3196
0.7455 , 210.7470
0.7957 , 212.4122
0.8441 , 213.0466
0.8761 , 213.5065
0.8951 , 213.8395
0.9274 , 213.8395
0.9472 , 214.4173
0.9645 , 215.9126
0.9832 , 220.8970
