AC-700,
X,Y
-0.0074 , 63.3820
0.1386 , 184.3918
0.1644 , 187.7412
0.1893 , 189.3939
0.2142 , 191.9720
0.2624 , 195.3038
0.3115 , 197.7233
0.3357 , 198.8537
0.3598 , 199.5676
0.3849 , 199.5875
0.4331 , 201.3855
0.0583 , 170.9553
0.0766 , 175.8089
0.1135 , 181.2018
0.2381 , 194.1448
0.2868 , 197.3806
0.4843 , 202.7735
0.5331 , 204.3914
0.5830 , 206.0092
0.6328 , 207.0878
0.6836 , 208.7057
0.7325 , 210.8629
0.7833 , 212.4807
0.8331 , 213.5593
0.8586 , 214.0986
0.8840 , 214.6379
0.9035 , 215.1772
0.9241 , 215.7165
0.9427 , 215.7165
0.9621 , 217.8737
