AC-900,
X,Y
-0.0149 , 135.4908
-0.0093 , 96.4616
-0.0048 , 19.1768
-0.0106 , 201.8676
-0.0001 , 218.5478
0.0109 , 230.6472
0.0283 , 240.4628
0.0493 , 247.6146
0.0671 , 251.9663
0.0827 , 255.0639
0.1101 , 259.9822
0.1367 , 263.6445
0.1638 , 272.5093
0.1880 , 273.3423
0.2111 , 277.2756
0.2344 , 277.6854
0.2584 , 281.1362
0.2825 , 282.9806
0.3066 , 284.3490
0.3315 , 286.3189
0.3539 , 287.5882
0.3798 , 287.4824
0.4280 , 290.9199
0.4780 , 293.4055
0.5280 , 295.3623
0.5771 , 297.6165
0.6271 , 299.5204
0.6771 , 301.4242
0.7263 , 303.0306
0.7772 , 304.4585
0.8263 , 305.5162
0.8522 , 306.2566
0.8781 , 306.8383
0.8979 , 307.4928
0.9186 , 308.3257
0.9376 , 309.0992
0.9591 , 311.1220
