AC-1000,
X,Y
-0.0031 , 5.0083
0.0142 , 155.2477
0.0328 , 161.8420
0.1149 , 176.2767
0.3346 , 187.7042
0.3613 , 188.3758
0.3863 , 189.5027
0.4354 , 191.4816
0.4847 , 191.7499
0.5338 , 193.1355
0.5847 , 194.5105
0.6339 , 195.6740
0.6822 , 196.7543
0.7338 , 199.0480
0.7825 , 200.9202
0.8340 , 202.5666
0.8598 , 203.7125
0.8839 , 205.3519
0.9037 , 206.8261
0.9243 , 208.9217
0.9440 , 212.5632
0.9663 , 215.0203
0.9809 , 217.3568
0.3119 , 187.1341
0.2865 , 185.5162
0.2621 , 184.9769
0.2133 , 182.8197
0.1879 , 181.2018
0.1654 , 180.6626
0.1391 , 177.9661
0.0788 , 172.5732
0.0545 , 168.2589
0.0228 , 159.0909
0.0037 , 149.3837
-0.0046 , 140.2157
-0.0079 , 131.0478
-0.0105 , 124.5763
