AC-900,
X,Y
-0.0149 , 135.4908
-0.0093 , 96.4616
-0.0048 , 19.1768
0.1101 , 259.9822
0.1367 , 263.6445
0.1638 , 272.5093
0.2111 , 277.2756
0.2584 , 281.1362
0.2825 , 282.9806
0.3066 , 284.3490
0.3315 , 286.3189
0.3539 , 287.5882
0.4280 , 290.9199
0.4780 , 293.4055
0.5280 , 295.3623
0.5771 , 297.6165
0.6271 , 299.5204
0.6771 , 301.4242
0.7263 , 303.0306
0.7772 , 304.4585
0.8263 , 305.5162
0.8522 , 306.2566
0.8781 , 306.8383
0.8979 , 307.4928
0.9186 , 308.3257
0.9376 , 309.0992
0.9591 , 311.1220
0.0326 , 242.6810
0.0212 , 237.2881
0.0117 , 232.4345
0.0042 , 226.5023
-0.0076 , 210.3236
-0.0022 , 219.4915
-0.0102 , 204.3914
-0.0107 , 196.3020
0.0538 , 248.6133
0.0731 , 254.0062
0.0828 , 255.6240
0.1874 , 275.0385
0.2342 , 279.3529
0.3795 , 288.5208
0.9684 , 312.7889
