AC-900,
X,Y
-0.0048 , 135.5734
-0.0013 , 96.5593
-0.0013 , 19.3041
0.0033 , 201.9246
0.0149 , 218.5984
0.0265 , 230.6932
0.0445 , 240.5050
0.0660 , 247.6541
0.0840 , 252.0041
0.0998 , 255.1004
0.1275 , 260.0168
0.1543 , 263.6777
0.1819 , 272.5392
0.2061 , 273.3718
0.2295 , 277.3036
0.2528 , 277.7133
0.2770 , 281.1627
0.3012 , 283.0064
0.3254 , 284.3742
0.3505 , 286.3434
0.3730 , 287.6122
0.3989 , 287.5065
0.4473 , 290.9427
0.4974 , 293.4273
0.5476 , 295.3833
0.5968 , 297.6367
0.6470 , 299.5398
0.6971 , 301.4429
0.7464 , 303.0487
0.7974 , 304.4760
0.8467 , 305.5333
0.8726 , 306.2734
0.8985 , 306.8549
0.9184 , 307.5091
0.9392 , 308.3418
0.9582 , 309.1149
0.9798 , 311.1370
