AC-1000,
X,Y
-0.0085 , 127.9126
-0.0076 , 68.3712
-0.0031 , 5.0083
-0.0013 , 143.4785
0.0142 , 155.2477
0.0328 , 161.8420
0.0515 , 167.3199
0.0703 , 171.0440
0.0892 , 173.3892
0.1149 , 176.2767
0.1407 , 178.4946
0.1609 , 179.5176
0.1791 , 180.7755
0.1966 , 182.1354
0.2165 , 183.0008
0.2362 , 183.2777
0.2568 , 185.1952
0.2740 , 185.7944
0.2889 , 185.6711
0.3113 , 186.8422
0.3346 , 187.7042
0.3613 , 188.3758
0.3863 , 189.5027
0.4354 , 191.4816
0.4847 , 191.7499
0.5338 , 193.1355
0.5847 , 194.5105
0.6339 , 195.6740
0.6822 , 196.7543
0.7338 , 199.0480
0.7825 , 200.9202
0.8340 , 202.5666
0.8598 , 203.7125
0.8839 , 205.3519
0.9037 , 206.8261
0.9243 , 208.9217
0.9440 , 212.5632
0.9663 , 215.0203
0.9809 , 217.3568
