RS-0,
X,Y
0.0181 , 81.4477
0.0372 , 88.9271
0.0717 , 91.7641
0.1063 , 96.1486
0.1414 , 98.7276
0.1739 , 100.0172
0.2074 , 101.0488
0.2415 , 102.3384
0.2766 , 103.1121
0.3101 , 104.4017
0.3431 , 105.1754
0.3782 , 106.7228
0.4112 , 107.2387
0.4448 , 107.7545
0.4783 , 108.2703
0.5114 , 109.0440
0.5454 , 109.8177
0.5800 , 110.3336
0.6135 , 111.3652
0.6476 , 111.3652
0.6806 , 112.6547
0.7147 , 113.4285
0.7482 , 113.6864
0.7817 , 114.2022
0.8153 , 115.2338
0.8504 , 116.0076
0.8829 , 117.2971
0.9169 , 119.1025
0.9510 , 121.4237
0.9835 , 124.0028
