RS-2,
X,Y
0.9871 , 286.4856
0.9546 , 282.3590
0.9226 , 280.5536
0.8885 , 280.0378
0.8545 , 279.0062
0.8235 , 278.2325
0.7915 , 277.7166
0.7564 , 277.2008
0.7214 , 276.4271
0.6873 , 275.6534
0.6527 , 275.1376
0.6197 , 274.6217
0.5841 , 273.5901
0.5516 , 272.8164
0.5181 , 271.5268
0.4830 , 271.0110
0.4479 , 269.4635
0.4154 , 268.6898
0.3793 , 267.4003
0.3473 , 266.1107
0.3132 , 264.5633
0.2781 , 263.0158
0.2436 , 261.4684
0.2090 , 259.6630
0.1749 , 257.0839
0.1404 , 254.2469
0.1094 , 250.3783
0.0717 , 243.1568
0.0402 , 231.5509
0.0114 , 207.8232
