RS-2,
X,Y
0.0078 , 202.8497
0.0185 , 213.8958
0.0434 , 235.8466
0.0676 , 242.6583
0.0993 , 250.1857
0.1204 , 253.2719
0.1403 , 256.2177
0.1710 , 257.8599
0.1975 , 258.8819
0.2402 , 258.5753
0.2620 , 262.2823
0.2928 , 263.4529
0.3253 , 265.2089
0.3543 , 267.3551
0.3955 , 267.8010
0.4322 , 268.7696
0.4519 , 268.0574
0.4814 , 269.8764
0.5149 , 271.0063
0.5501 , 271.3172
0.5813 , 271.7074
0.6167 , 273.5253
0.6477 , 275.2081
0.6676 , 275.0618
0.6930 , 275.4520
0.7273 , 276.3787
0.7607 , 277.3272
0.7908 , 276.2424
0.8200 , 277.5006
0.8385 , 279.1915
0.8619 , 279.7304
0.9030 , 280.4551
0.9225 , 281.9230
0.9522 , 283.2144
0.9842 , 286.1562
