A-p600,
X,Y
0.0200 , 102.3498
0.0400 , 104.9237
0.0600 , 106.5199
0.0800 , 107.7186
0.1000 , 108.6141
0.1200 , 109.2664
0.1400 , 109.8094
0.1600 , 110.3363
0.1800 , 111.2168
0.2000 , 112.0761
0.2200 , 112.4116
0.2400 , 112.3085
0.2600 , 112.6137
0.2800 , 113.1373
0.3000 , 113.3169
0.3200 , 113.8196
0.3400 , 114.1575
0.3600 , 114.5208
0.3800 , 114.6314
0.4000 , 114.4629
0.4200 , 114.8329
0.4400 , 114.7000
0.4600 , 114.8426
0.4800 , 115.2241
0.5000 , 115.2035
0.5200 , 115.7906
0.5400 , 116.2166
0.5600 , 116.5228
0.5800 , 116.7185
0.6000 , 116.7948
0.6200 , 117.1492
0.6400 , 117.4032
0.6600 , 117.9101
0.6800 , 118.5315
0.7000 , 118.8148
0.7200 , 119.0454
0.7400 , 119.0375
0.7600 , 119.4966
0.7800 , 120.1561
0.8000 , 120.2682
0.8200 , 120.8247
0.8400 , 121.7036
0.8600 , 122.4224
0.8800 , 123.2254
0.9000 , 124.3335
0.9200 , 126.0475
0.9457 , 129.7694
0.9675 , 136.2803
0.9784 , 143.2403
0.9856 , 152.4454
0.9953 , 159.6299
0.9820 , 147.2816
0.9736 , 140.0971
0.9590 , 133.8107
0.9941 , 156.7112
