A-p900-KOH-1h,
X,Y
0.0088 , 199.3958
0.0293 , 218.5266
0.0602 , 231.4844
0.0795 , 236.3293
0.1031 , 240.4484
0.1237 , 242.8722
0.1467 , 245.0542
0.1673 , 246.3884
0.1861 , 247.3592
0.2043 , 248.3299
0.2497 , 250.1514
0.3036 , 251.6107
0.3545 , 252.8275
0.4005 , 253.6805
0.4502 , 254.6551
0.4998 , 255.2664
0.5495 , 255.8777
0.6010 , 256.6104
0.6506 , 257.2217
0.7003 , 257.8330
0.7512 , 258.6867
0.8009 , 259.4191
0.8208 , 259.7847
0.8511 , 260.3937
0.8760 , 261.2441
0.9002 , 262.0945
0.9256 , 263.4293
0.9498 , 265.4904
0.9728 , 269.7304
0.9819 , 273.3635
